,Coordenada $x_{1}$,Coordenada $x_{2}$,Valor de la Función,Abscisas del Punto,Punto Completo
$X_{1}$,2.1780457013835743,17.68765710255326,130.14256390743694,"[2.1780457013835743, 17.68765710255326]","[2.1780457013835743, 17.68765710255326, 130.14256390743694]"
$X_{2}$,-3.793046063829209,12.11803054332001,118.97219041864733,"[-3.793046063829209, 12.11803054332001]","[-3.793046063829209, 12.11803054332001, 118.97219041864733]"
$X_{3}$,-17.160483587935165,5.771760789070978,118.97295649177318,"[-17.160483587935165, 5.771760789070978]","[-17.160483587935165, 5.771760789070978, 118.97295649177318]"
$X_{4}$,-17.446460671492655,-15.138319380122738,13.41546607436155,"[-17.446460671492655, -15.138319380122738]","[-17.446460671492655, -15.138319380122738, 13.41546607436155]"
$X_{5}$,15.482257728483944,-1.6423327996350139,-27.320290702701705,"[15.482257728483944, -1.6423327996350139]","[15.482257728483944, -1.6423327996350139, -27.320290702701705]"
$X_{6}$,-3.422499903416746,3.46161591953884,1.7023198416947167,"[-3.422499903416746, 3.46161591953884]","[-3.422499903416746, 3.46161591953884, 1.7023198416947167]"
$X_{7}$,18.70865489543702,-2.813360664202058,-34.91617866190931,"[18.70865489543702, -2.813360664202058]","[18.70865489543702, -2.813360664202058, -34.91617866190931]"
$X_{8}$,12.195866571676078,0.05868313661905944,11.594237935725765,"[12.195866571676078, 0.05868313661905944]","[12.195866571676078, 0.05868313661905944, 11.594237935725765]"
$X_{9}$,-7.724530505472966,16.01599547602094,63.965272400254236,"[-7.724530505472966, 16.01599547602094]","[-7.724530505472966, 16.01599547602094, 63.965272400254236]"
$X_{10}$,-3.8189563483840097,15.67852872328207,104.47112541378881,"[-3.8189563483840097, 15.67852872328207]","[-3.8189563483840097, 15.67852872328207, 104.47112541378881]"
$X_{11}$,-11.351245642356869,-18.58479004791867,-24.81664264176259,"[-11.351245642356869, -18.58479004791867]","[-11.351245642356869, -18.58479004791867, -24.81664264176259]"
$X_{12}$,17.788235767561275,3.1606517314890112,15.411909943835155,"[17.788235767561275, 3.1606517314890112]","[17.788235767561275, 3.1606517314890112, 15.411909943835155]"
$X_{13}$,1.3414238548782293,-1.8158020481638992,-30.72049954402575,"[1.3414238548782293, -1.8158020481638992]","[1.3414238548782293, -1.8158020481638992, -30.72049954402575]"
$X_{14}$,-13.93777471713264,0.46315148871534007,91.60265399181341,"[-13.93777471713264, 0.46315148871534007]","[-13.93777471713264, 0.46315148871534007, 91.60265399181341]"
$X_{15}$,16.217937671156093,-1.1234335341215207,-9.651144382753735,"[16.217937671156093, -1.1234335341215207]","[16.217937671156093, -1.1234335341215207, -9.651144382753735]"
$X_{16}$,13.101708862691112,-18.004639227342114,-159.25510749298638,"[13.101708862691112, -18.004639227342114]","[13.101708862691112, -18.004639227342114, -159.25510749298638]"
$X_{17}$,13.521180605459222,-10.406328484886739,-68.36596095225123,"[13.521180605459222, -10.406328484886739]","[13.521180605459222, -10.406328484886739, -68.36596095225123]"
$X_{18}$,-3.3769400737192328,-19.212191088958967,-94.53379061957594,"[-3.3769400737192328, -19.212191088958967]","[-3.3769400737192328, -19.212191088958967, -94.53379061957594]"
$X_{19}$,15.420396581500341,-16.108601728024567,-153.57584228082132,"[15.420396581500341, -16.108601728024567]","[15.420396581500341, -16.108601728024567, -153.57584228082132]"
$X_{20}$,-11.370340212009795,5.441067745872758,87.15121730083399,"[-11.370340212009795, 5.441067745872758]","[-11.370340212009795, 5.441067745872758, 87.15121730083399]"
$X_{21}$,-4.744687070988874,-18.62418809314086,-113.50165900943631,"[-4.744687070988874, -18.62418809314086]","[-4.744687070988874, -18.62418809314086, -113.50165900943631]"
$X_{22}$,17.68723307765803,10.063934583179517,-0.02072390225504961,"[17.68723307765803, 10.063934583179517]","[17.68723307765803, 10.063934583179517, -0.02072390225504961]"
$X_{23}$,-19.180745558272605,-9.411665683532853,7.601577042491487,"[-19.180745558272605, -9.411665683532853]","[-19.180745558272605, -9.411665683532853, 7.601577042491487]"
$X_{24}$,-4.955339477956535,-8.562217818278253,-68.48019971160578,"[-4.955339477956535, -8.562217818278253]","[-4.955339477956535, -8.562217818278253, -68.48019971160578]"
$X_{25}$,-17.551494845920487,-17.86928620911105,-73.12647454842146,"[-17.551494845920487, -17.86928620911105]","[-17.551494845920487, -17.86928620911105, -73.12647454842146]"
$X_{26}$,-4.235132482454077,-10.096156123627242,-22.63426809492686,"[-4.235132482454077, -10.096156123627242]","[-4.235132482454077, -10.096156123627242, -22.63426809492686]"
$X_{27}$,-13.134122189104037,0.7787830533340951,83.42524811905344,"[-13.134122189104037, 0.7787830533340951]","[-13.134122189104037, 0.7787830533340951, 83.42524811905344]"
$X_{28}$,14.850150151682598,-14.226035209252812,-131.63727415700177,"[14.850150151682598, -14.226035209252812]","[14.850150151682598, -14.226035209252812, -131.63727415700177]"
$X_{29}$,-11.61053349680853,4.503210428758923,16.715230943817716,"[-11.61053349680853, 4.503210428758923]","[-11.61053349680853, 4.503210428758923, 16.715230943817716]"
$X_{30}$,17.59990441296207,0.17786038168832974,-70.48638848042467,"[17.59990441296207, 0.17786038168832974]","[17.59990441296207, 0.17786038168832974, -70.48638848042467]"
$X_{31}$,16.401659535355193,1.3175273630805293,-62.960466889220214,"[16.401659535355193, 1.3175273630805293]","[16.401659535355193, 1.3175273630805293, -62.960466889220214]"
$X_{32}$,17.65681285543201,-9.981210406674732,-109.33127269863975,"[17.65681285543201, -9.981210406674732]","[17.65681285543201, -9.981210406674732, -109.33127269863975]"
