,Coordenada $x_{1}$,Coordenada $x_{2}$,Coordenada $x_{3}$,Punto,Categoría
$X_{1}$,18.938832596924883,-11.932353599744886,2.0074892751897693,"[18.938832596924883, -11.932353599744886, 2.0074892751897693]",Clase 1
$X_{2}$,5.699189569434772,-6.2262611088940645,16.152975041893185,"[5.699189569434772, -6.2262611088940645, 16.152975041893185]",Clase 1
$X_{3}$,2.1711691608743244,-7.654412174680187,10.831312782751723,"[2.1711691608743244, -7.654412174680187, 10.831312782751723]",Clase 1
$X_{4}$,-19.674214882316846,-11.331037824784374,11.224344746614193,"[-19.674214882316846, -11.331037824784374, 11.224344746614193]",Clase 1
$X_{5}$,-11.196270291677068,-4.14379594037066,15.531391494541865,"[-11.196270291677068, -4.14379594037066, 15.531391494541865]",Clase 1
$X_{6}$,9.952518713318138,0.3787216852264095,14.677409842109405,"[9.952518713318138, 0.3787216852264095, 14.677409842109405]",Clase 1
$X_{7}$,-4.223416268921451,-5.652217195805669,15.456851268138017,"[-4.223416268921451, -5.652217195805669, 15.456851268138017]",Clase 1
$X_{8}$,-12.267266076743294,-17.77015953622775,5.690658544219541,"[-12.267266076743294, -17.77015953622775, 5.690658544219541]",Clase 1
$X_{9}$,-0.2084187708951717,-12.721770219387407,9.628486398544943,"[-0.2084187708951717, -12.721770219387407, 9.628486398544943]",Clase 1
$X_{10}$,4.338775281193033,-3.654177532403885,14.208739559776276,"[4.338775281193033, -3.654177532403885, 14.208739559776276]",Clase 1
$X_{11}$,-14.814584105116587,-17.104776926903114,5.239075764822431,"[-14.814584105116587, -17.104776926903114, 5.239075764822431]",Clase 1
$X_{12}$,4.728945141774691,-16.909346500053,5.305747425397026,"[4.728945141774691, -16.909346500053, 5.305747425397026]",Clase 1
$X_{13}$,-18.16301959842039,1.515765413796288,16.362995923831882,"[-18.16301959842039, 1.515765413796288, 16.362995923831882]",Clase 1
$X_{14}$,1.5341407851719637,-5.410681197182026,10.388448744494063,"[1.5341407851719637, -5.410681197182026, 10.388448744494063]",Clase 1
$X_{15}$,-17.74862885725508,-8.010539839614603,18.973063956346444,"[-17.74862885725508, -8.010539839614603, 18.973063956346444]",Clase 1
