,Coordenada $x_{1}$,Coordenada $x_{2}$,Valor de la Función,Abscisas del Punto,Punto Completo
$X_{1}$,16.15107933100822,14.373141355361845,108.82952859733432,"[16.15107933100822, 14.373141355361845]","[16.15107933100822, 14.373141355361845, 108.82952859733432]"
$X_{2}$,-19.148805272072206,1.714268457217706,107.43214641685843,"[-19.148805272072206, 1.714268457217706]","[-19.148805272072206, 1.714268457217706, 107.43214641685843]"
$X_{3}$,-16.360647704634403,-3.9542607707985624,8.98316013460818,"[-16.360647704634403, -3.9542607707985624]","[-16.360647704634403, -3.9542607707985624, 8.98316013460818]"
$X_{4}$,1.8792531775043173,11.833586822721422,106.49553390908214,"[1.8792531775043173, 11.833586822721422]","[1.8792531775043173, 11.833586822721422, 106.49553390908214]"
$X_{5}$,-13.21998174014185,8.564293123774807,164.63866967017748,"[-13.21998174014185, 8.564293123774807]","[-13.21998174014185, 8.564293123774807, 164.63866967017748]"
$X_{6}$,5.066378877441686,15.283041530066555,153.94397124712103,"[5.066378877441686, 15.283041530066555]","[5.066378877441686, 15.283041530066555, 153.94397124712103]"
$X_{7}$,-8.772201519937388,3.4639811547367714,40.61428338091045,"[-8.772201519937388, 3.4639811547367714]","[-8.772201519937388, 3.4639811547367714, 40.61428338091045]"
$X_{8}$,7.949579190367068,7.25963649430172,26.66152842843266,"[7.949579190367068, 7.25963649430172]","[7.949579190367068, 7.25963649430172, 26.66152842843266]"
$X_{9}$,-1.874886099086428,16.564402562391784,197.7661291511971,"[-1.874886099086428, 16.564402562391784]","[-1.874886099086428, 16.564402562391784, 197.7661291511971]"
$X_{10}$,19.271470144499872,-0.3993112736937263,-79.81308946158744,"[19.271470144499872, -0.3993112736937263]","[19.271470144499872, -0.3993112736937263, -79.81308946158744]"
$X_{11}$,6.121794979935437,6.342115783878427,-0.30142297537882,"[6.121794979935437, 6.342115783878427]","[6.121794979935437, 6.342115783878427, -0.30142297537882]"
$X_{12}$,-8.504691120975561,0.7058383254296245,65.70564257864581,"[-8.504691120975561, 0.7058383254296245]","[-8.504691120975561, 0.7058383254296245, 65.70564257864581]"
$X_{13}$,-3.8019256791599005,6.8681145314819325,34.17549803369159,"[-3.8019256791599005, 6.8681145314819325]","[-3.8019256791599005, 6.8681145314819325, 34.17549803369159]"
$X_{14}$,-2.467823673774344,-6.406101284153504,-39.94556006297242,"[-2.467823673774344, -6.406101284153504]","[-2.467823673774344, -6.406101284153504, -39.94556006297242]"
$X_{15}$,-17.080433707727252,8.938962478680722,150.76320584464816,"[-17.080433707727252, 8.938962478680722]","[-17.080433707727252, 8.938962478680722, 150.76320584464816]"
$X_{16}$,-16.913366819815625,-12.948293501896195,-36.56378178306488,"[-16.913366819815625, -12.948293501896195]","[-16.913366819815625, -12.948293501896195, -36.56378178306488]"
$X_{17}$,-7.573052781401017,-17.42174282854039,-122.65257621360422,"[-7.573052781401017, -17.42174282854039]","[-7.573052781401017, -17.42174282854039, -122.65257621360422]"
$X_{18}$,-18.667487165553176,3.134547241525528,89.32260488335909,"[-18.667487165553176, 3.134547241525528]","[-18.667487165553176, 3.134547241525528, 89.32260488335909]"
$X_{19}$,-2.0355289102787886,-14.734397050369857,-138.3383743816252,"[-2.0355289102787886, -14.734397050369857]","[-2.0355289102787886, -14.734397050369857, -138.3383743816252]"
